字段描述	id	活动类型	活动子类型	模板代码的路径	prefab模板资源的路径	 
字段名称	id	type	subActivityType	luaPath	resUrl
数据类型	int	int	int	string	string
怪物活动	1	100	0	Game.View.Activity.Monster.MonsterActivity	Assets/Shelter/Prefabs/UI/Activity/ActMonster/MonsterActivity.prefab
英雄凛冬活动	2	11	2001	Game.View.Activity.Hero.HeroActivity	Assets/Shelter/Prefabs/UI/Activity/ActHero/HeroActivity.prefab
大转盘活动	3	10	0	Game.View.Activity.Turntable.TurntableActivity	Assets/Shelter/Prefabs/UI/Activity/TurntableActivity/TurntableActivity.prefab
联盟军备活动	4	14	0	Game.View.Activity.AllianceActivity.AllianceArmRaceAct	Assets/Shelter/Prefabs/UI/Activity/AllianceActivity/AllianceArmRaceAct.prefab
世界boss活动	5	102	0	Game.View.Activity.Exchange.ExchangeActivity	Assets/Shelter/Prefabs/UI/Activity/Boss/WorldBossActivity.prefab
战力活动	6	8	0	Game.View.Activity.NewServer.ActivityNewServer	Assets/Shelter/Prefabs/UI/Activity/NewServer/ActivityNewServer.prefab
平民活动	7	9	0	Game.View.Activity.NewServer.ActivityNewServer	Assets/Shelter/Prefabs/UI/Activity/NewServer/ActivityNewServer.prefab
军功活动	8	104	0	Game.View.Activity.ActAllianceDkp.ActAllianceDkp	Assets/Shelter/Prefabs/UI/Activity/AllianceDkp/ActAllianceDkp.prefab
答题活动	9	105	0	Game.View.Activity.AllianceQuestion.ActAllianceQuestion	Assets/Shelter/Prefabs/UI/Activity/AllianceQuestion/AllianceQuestion.prefab
世界争霸活动	10	103	0	Game.View.Activity.ActThroneWarSeasonAccount.ActThroneWar_Home	Assets/Shelter/Prefabs/UI/Activity/ThroneWarSeasonAccount/ActThroneWar_Home.prefab
废土活动	11	15	0	Game.View.Activity.NewServer.ActivityNewServer	Assets/Shelter/Prefabs/UI/Activity/NewServer/ActivityNewServer.prefab
英雄培养活动	12	106	0	Game.View.Activity.ActHeroTrain.ActHeroTrain	Assets/Shelter/Prefabs/UI/Activity/ActHeroTrain/ActHeroTrain.prefab
水晶转盘活动	13	107	0	Game.View.Activity.Turntable.TurntableActivity	Assets/Shelter/Prefabs/UI/Activity/TurntableActivity/TurntableActivity.prefab
个人军备日常活动(开发中注释)	14	12	1001	Game.View.Activity.ActPersonArms.PersonArmsView	Assets/Shelter/Prefabs/UI/Activity/PersonArms/PersonArmsView.prefab
个人军备杀敌活动(开发中)	15	12	1002	Game.View.Activity.ActPersonArms.PersonArmsView	Assets/Shelter/Prefabs/UI/Activity/PersonArms/PersonArmsView.prefab
感恩节活动	16	11	2002	Game.View.Activity.Hero.ActThankGiving	Assets/Shelter/Prefabs/UI/Activity/ActHero/ActThankGiving.prefab
累计充值活动	17	110	0	Game.View.Activity.ActAccumulativeRecharge.ActAccumulativeRecharge	Assets/Shelter/Prefabs/UI/Activity/ActAccumulativeRecharge/ActAccumulativeRecharge.prefab
账号绑定活动	18	109	0	Game.View.Activity.ActAccountBind.UIAccountBindGuide	Assets/Shelter/Prefabs/UI/Activity/AccountBind/UIAccountBindGuide.prefab
s1冲榜活动	19	108	0	Game.View.Activity.RegionForce.UIRegionForcePanel	Assets/Shelter/Prefabs/UI/Activity/RegionForce/UIRegionForcePanel.prefab
七日登录奖励	20	111	0	Game.View.Activity.ActSevenDayLogin.ActSevenDayLogin	Assets/Shelter/Prefabs/UI/Activity/SevenDayLogin/ActSevenDayLogin.prefab
圣诞活动	21	16	0	Game.View.Activity.ActChristmas.ActItemChristmas	Assets/Shelter/Prefabs/UI2/ChristmasAct/ActItemChristmas.prefab
