字段描述	界面KEY	资源文件	界面分组	优先级	是否暂停被覆盖的界面	是否允许多开	是否锁定(锁定后常驻内存不卸载)	是否打开界面时刷新位置
字段名称	id	AssetName	UIGroupName	Priority	IsPauseCoveredUI	IsMultipleInstance	IsLocked	IsRefreshPositionWhenOpen
数据类型	string	string	string	int	bool	bool	bool	bool
	LFWorldDonateView	Assets/Shelter/Prefabs/UI/LFWorldDonateView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldSiegeView2	Assets/Shelter/Prefabs/UI/LFWorldsiegeView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UIInputActiveCodePanel	Assets/Shelter/Prefabs/UI/UIAccount/UIInputActiveCodePanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFGerenjunbei	Assets/Main/Prefabs/UI/ActivityCenter/UIPersonalArmsRace.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
个人军备界面	LFarmsView	Assets/Shelter/Prefabs/UI/Activity/LFarmsView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFarmsRankingListView	Assets/Shelter/Prefabs/UI/Activity/LFarmsRankingListView	UIResourcePopUp	99	FALSE	FALSE	FALSE	FALSE
	LFWorldGatherSub	Assets/Shelter/Prefabs/UI2/Alliance/LFWorldGatherSub2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldGather	Assets/Shelter/Prefabs/UI2/Alliance/LFWorldGather2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldGatherAttack	Assets/Shelter/Prefabs/World/UI/LFWorldGatherAttack.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMoveCityView	Assets/Shelter/Prefabs/World/WorldCity/LFMoveCityView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMoveCityListView	Assets/Shelter/Prefabs/World/WorldCity/LFMoveCityListView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMarchBtnView	Assets/Shelter/Prefabs/World/UI/LFMarchBtnView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFStartMovie	Assets/Shelter/Prefabs/UI/DefaultUI/LFStartMovie.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UIGameMovie	Assets/Shelter/Prefabs/UI/DefaultUI/UIGameMovie.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFScrollTipsView	Assets/Shelter/Prefabs/UI/DefaultUI/LFScrollTipsView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UILoadingAnimation	Assets/Shelter/Prefabs/UI/DefaultUI/UILoadingAnimation.prefab	Loading	99	FALSE	FALSE	FALSE	FALSE
主界面tips	UIMainTipPlus	Assets/Shelter/Prefabs/UI2/LFUIMainTipPlus.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	HeadBubbleLayer	Assets/Shelter/Prefabs/UI/Scene/HeadBubbleLayer.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	LFLevelUpTips	Assets/Shelter/Prefabs/UI/LFLevelUpTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMainCityLevelUpTips	Assets/Shelter/Prefabs/UI/LFMainCityLevelUpTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBattleLvAndCamp	Assets/Shelter/Prefabs/Battle/UI/BattleLvAndCamp.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBattleHeadUI	Assets/Shelter/Prefabs/Battle/UI/BattleHeadUI.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBattleView	Assets/Shelter/Prefabs/UI2/PVE/LFBattleView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBattleResultView	Assets/Shelter/Prefabs/Battle/UI/LFBattleResultView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	Tips	Assets/Shelter/Prefabs/UI/Common/UITips.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	UITipMessage	Assets/Shelter/Prefabs/UI2/UITipMessage2.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	UIAuthorityDoorTips	Assets/Shelter/Prefabs/UI/Common/UIAuthorityDoorTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHarvestPop	Assets/Shelter/Prefabs/UI/LFHarvestPop.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFCommonTips	Assets/Shelter/Prefabs/UI/Common/LFCommonTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFCommonWhiteTips	Assets/Shelter/Prefabs/UI/Common/LFCommonWhiteTips.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFScienceItemTips	Assets/Shelter/Prefabs/UI/Science/LFScienceItemTips.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFCommonTitleTips	Assets/Shelter/Prefabs/UI/Common/LFCommonTitleTips.prefab	Dialog	99	FALSE	FALSE	FALSE	TRUE
	LFCommonItemTips	Assets/Shelter/Prefabs/UI2/Common/LFCommonItemTips.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFCommonHeroInfoTip	Assets/Shelter/Prefabs/UI/Common/LFCommonHeroInfoTip.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFDigTipsPanel	Assets/Shelter/Prefabs/UI/Common/LFDigTipsPanel.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFSelectWorkerPanel	Assets/Shelter/Prefabs/UI2/UIWorkerSelect1.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFMouseClickEffect	Assets/Shelter/Prefabs/UI/Common/LFMouseClickEffect.prefab	Story	99	FALSE	FALSE	FALSE	FALSE
	LFSelectBuildPanel	Assets/Shelter/Prefabs/UI/Room/LFBuildSelect.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFSelectWorkerTransView	Assets/Shelter/Prefabs/UI/LFWorkerSelectTransView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFCommonHelp	Assets/Shelter/Prefabs/UI/Common/LFCommonHelp.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFSkillDesTips	Assets/Shelter/Prefabs/UI/LFHeroSkillInfoTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UseDiamondConfirm	Assets/Shelter/Prefabs/UI2/LFDiamondConfirm2.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	UIMain	Assets/Shelter/Prefabs/UI2/LFUIMain2.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	UIMainTipFood	Assets/Shelter/Prefabs/UI/LFUIMainTipFood.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	UIMainTipElect	Assets/Shelter/Prefabs/UI/LFUIMainTipElect.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	UIMainTipEmotion	Assets/Shelter/Prefabs/UI/LFUIMainTipEmotion.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	UIMainTipPeople	Assets/Shelter/Prefabs/UI/LFUIMainTipPeople.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UIMainTipWorker	Assets/Shelter/Prefabs/UI/LFUIMainTipWorker.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UIMainTipZb	Assets/Shelter/Prefabs/UI/LFUIMainTipZb.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UIMainTipRecruit	Assets/Shelter/Prefabs/UI/LFUIMainTipRecruit.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RescuePeopleView	Assets/Shelter/Prefabs/UI/LFRescuePeopleView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	PlaceViewNew	Assets/Shelter/Prefabs/UI/LFPlaceViewNew.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ScienceLackResTips	Assets/Shelter/Prefabs/UI/LFScienceLackResTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomManagerView	Assets/Shelter/Prefabs/UI/Room/LFRoomManager2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomManagerStationSelect	Assets/Shelter/Prefabs/UI/Room/LFRoomManagerSelect.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomManagerRobot	Assets/Shelter/Prefabs/UI/Room/LFRoomManagerRobot.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomOperator	Assets/Shelter/Prefabs/UI/Room/LFRoomOperator.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	RoomDetail1View	Assets/Shelter/Prefabs/UI/Room/LFRoomDetail1.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomDetail2View	Assets/Shelter/Prefabs/UI/Room/LFRoomDetail2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	DiningView	Assets/Shelter/Prefabs/UI/Room/LFDiningRoom.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	DiningPageView	Assets/Shelter/Prefabs/UI2/Room/LFDiningRoomCookPage3.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	DiningQuickCookSuccessView	Assets/Shelter/Prefabs/UI/LFQuickCookSuccess.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFUseQuickCookTip	Assets/Shelter/Prefabs/UI2/Room/LFUseQuickCookTip1.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ResSupplyView	Assets/Shelter/Prefabs/UI2/LFResSupplyView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
